matricula,codigo,disciplina,periodo,ano,curriculo,ch,nota,frequencia,status,tipo,observacao,natureza,situacaoDiscente,nomeTuma,codigoCurriculoSie
4,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,2,2022,Sim,60,0,0,Matriculado,TURMA,,Obrigatória,Registro ativo,BCC1,21A
5,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,1,2016,Não,60,1,83,R-nota,TURMA,,-,Registro ativo,D,21A
5,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,2,2016,Não,60,29,86,R-nota,TURMA,,-,Registro ativo,C,21A
5,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,1,2017,Não,60,61,100,Aprovado,TURMA,,-,Registro ativo,C,21A
5,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2019,Sim,60,0,0,Aprovado,EQUIVALENCIA,,Obrigatória,Registro ativo,,21A
6,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,1,2017,Não,60,95,100,Aprovado,TURMA,,-,Registro ativo,A,21A
6,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2019,Sim,60,0,0,Aprovado,EQUIVALENCIA,,Obrigatória,Registro ativo,,21A
7,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,1,2018,Não,60,1,93,R-nota,TURMA,,-,Registro ativo,D,21A
7,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,2,2018,Não,60,79,93,Aprovado,TURMA,,-,Registro ativo,B,21A
7,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2019,Sim,60,0,0,Aprovado,EQUIVALENCIA,,Obrigatória,Registro ativo,,21A
8,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2019,Sim,60,61,100,Aprovado,TURMA,,Obrigatória,Registro ativo,E,21A
9,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2020,Sim,60,100,100,Aprovado,TURMA,,Obrigatória,Registro ativo,C,21A
10,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,1,2016,Sim,60,75,100,Aprovado,TURMA,,Obrigatória,Conclusão formatura,D,21A
11,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,2,2020,Sim,60,0,0,Cancelado,TURMA,,Obrigatória,Trancamento,B,21A
11,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,2,2021,Sim,60,0,0,Cancelado,TURMA,,Obrigatória,Trancamento,B,21A
11,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2022,Sim,60,1,90,R-nota,TURMA,,Obrigatória,Trancamento,BCC5,21A
12,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,1,2015,Sim,60,52,90,Aprovado,TURMA,,Obrigatória,Conclusão formatura,,21A
13,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,1,2017,Não,60,51,93,Aprovado,TURMA,,-,Evasão,,21A
13,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2019,Sim,60,0,0,Aprovado,EQUIVALENCIA,,Obrigatória,Evasão,,21A
14,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,1,2018,Não,60,70,93,Aprovado,TURMA,,-,Evasão,,21A
14,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2019,Sim,60,0,0,Aprovado,EQUIVALENCIA,,Obrigatória,Evasão,,21A
15,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2019,Sim,60,76,100,Aprovado,TURMA,,Obrigatória,Registro ativo,A,21A
16,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2021,Sim,60,90,100,Aprovado,TURMA,,Obrigatória,Registro ativo,D,21A
17,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,1,2015,Sim,60,68,100,Aprovado,TURMA,L,Obrigatória,Conclusão formatura,,21A
18,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2022,Sim,60,0,100,R-nota,TURMA,,Obrigatória,Trancamento,BCC3,21A
19,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,1,2016,Não,60,0,33,R-freq,TURMA,,-,Evasão,D,21A
19,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,2,2016,Não,60,0,100,Cancelado,TURMA,,-,Evasão,C,21A
19,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,1,2017,Não,60,80,93,Aprovado,TURMA,,-,Evasão,C,21A
19,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2019,Sim,60,0,0,Aprovado,EQUIVALENCIA,,Obrigatória,Evasão,,21A
20,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2019,Sim,60,71,100,Aprovado,TURMA,,Obrigatória,Registro ativo,A,21A
21,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2020,Sim,60,68,100,Aprovado,TURMA,,Obrigatória,Registro ativo,ERE 2 - D,21A
22,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,1,2013,Sim,60,75,100,Aprovado,TURMA,,Obrigatória,Registro ativo,A,21A
23,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,1,2017,Sim,60,70,83,Aprovado,TURMA,,Obrigatória,Registro ativo,A,21A
24,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,1,2012,Sim,60,17,96,R-nota,TURMA,,Obrigatória,Registro ativo,A,21A
24,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,2,2012,Sim,60,0,50,R-freq,TURMA,,Obrigatória,Registro ativo,A,21A
24,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,2,2014,Sim,60,0,0,R-freq,TURMA,,Obrigatória,Registro ativo,A,21A
24,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,1,2015,Sim,60,3,90,R-nota,TURMA,,Obrigatória,Registro ativo,C,21A
24,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,2,2015,Sim,60,0,0,R-freq,TURMA,,Obrigatória,Registro ativo,B,21A
24,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,2,2017,Sim,60,50,93,Aprovado,TURMA,,Obrigatória,Registro ativo,A,21A
25,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,1,2017,Sim,60,63,90,Aprovado,TURMA,,Obrigatória,Evasão,,21A
26,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2019,Sim,60,25,90,R-nota,TURMA,,Obrigatória,Registro ativo,D,21A
26,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,2,2019,Sim,60,71,76,Aprovado,TURMA,,Obrigatória,Registro ativo,A,21A
27,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2020,Sim,60,87,100,Aprovado,TURMA,,Obrigatória,Registro ativo,C,21A
28,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,1,2014,Sim,60,81,0,Aprovado,EQUIVALENCIA,,Obrigatória,Registro ativo,,21A
29,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2021,Sim,60,83,100,Aprovado,TURMA,,Obrigatória,Trancamento,C,21A
30,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,1,2018,Não,60,65,96,Aprovado,TURMA,,-,Registro ativo,B,21A
30,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2019,Sim,60,0,0,Aprovado,EQUIVALENCIA,,Obrigatória,Registro ativo,,21A
31,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2021,Sim,60,100,100,Aprovado,TURMA,,Obrigatória,Registro ativo,E,21A
32,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,1,2016,Sim,60,85,93,Aprovado,TURMA,,Obrigatória,Registro ativo,C,21A
33,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2019,Sim,60,8,96,R-nota,TURMA,,Obrigatória,Registro ativo,A,21A
33,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,2,2019,Sim,60,70,100,Aprovado,TURMA,,Obrigatória,Registro ativo,A,21A
34,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,1,2017,Não,60,80,100,Aprovado,TURMA,,-,Conclusão formatura,A,21A
34,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2019,Sim,60,0,0,Aprovado,EQUIVALENCIA,,Obrigatória,Conclusão formatura,,21A
35,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,2,2020,Sim,60,0,0,Cancelado,TURMA,,Obrigatória,Registro ativo,B,21A
35,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2020,Sim,60,0,0,Cancelado,TURMA,,Obrigatória,Registro ativo,ERE 2 - C,21A
35,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2021,Sim,60,6,100,R-nota,TURMA,,Obrigatória,Registro ativo,B,21A
35,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,2,2021,Sim,60,36,100,R-nota,TURMA,,Obrigatória,Registro ativo,A,21A
35,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2022,Sim,60,21,100,R-nota,TURMA,,Obrigatória,Registro ativo,BCC1,21A
35,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,2,2022,Sim,60,0,0,Matriculado,TURMA,,Obrigatória,Registro ativo,BCC1,21A
36,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2020,Sim,60,100,100,Aprovado,TURMA,,Obrigatória,Registro ativo,A,21A
37,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2022,Sim,60,4,94,R-nota,TURMA,,Obrigatória,Registro ativo,BCC4,21A
37,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,2,2022,Sim,60,0,0,Matriculado,TURMA,,Obrigatória,Registro ativo,BCC1,21A
38,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,1,2014,Sim,60,65,96,Aprovado,TURMA,,Obrigatória,Conclusão formatura,,21A
39,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2019,Sim,60,90,96,Aprovado,TURMA,,Obrigatória,Registro ativo,A,21A
40,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2021,Sim,60,86,100,Aprovado,TURMA,,Obrigatória,Registro ativo,C,21A
41,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2019,Sim,60,61,100,Aprovado,TURMA,,Obrigatória,Registro ativo,E,21A
42,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,1,2018,Não,60,95,100,Aprovado,TURMA,,-,Registro ativo,B,21A
42,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2019,Sim,60,0,0,Aprovado,EQUIVALENCIA,,Obrigatória,Registro ativo,,21A
43,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,1,2014,Sim,60,81,93,Aprovado,TURMA,,Obrigatória,Conclusão formatura,,21A
44,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2019,Sim,60,41,83,R-nota,TURMA,,Obrigatória,Evasão,D,21A
44,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,2,2019,Sim,60,57,90,Aprovado,TURMA,,Obrigatória,Evasão,A,21A
45,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2020,Sim,60,88,100,Aprovado,TURMA,,Obrigatória,Registro ativo,ERE 2 - A,21A
46,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2019,Sim,60,88,100,Aprovado,TURMA,,Obrigatória,Registro ativo,A,21A
47,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,1,2016,Sim,60,70,96,Aprovado,TURMA,,Obrigatória,Conclusão formatura,,21A
48,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2022,Sim,60,100,100,Aprovado,TURMA,,Obrigatória,Registro ativo,BCC5,21A
49,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,1,2016,Sim,60,1,86,R-nota,TURMA,,Obrigatória,Conclusão formatura,,21A
49,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,2,2016,Sim,60,61,90,Aprovado,TURMA,,Obrigatória,Conclusão formatura,,21A
50,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2021,Sim,60,85,100,Aprovado,TURMA,,Obrigatória,Registro ativo,E,21A
51,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,1,2017,Não,60,77,96,Aprovado,TURMA,,-,Conclusão formatura,,21A
51,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2019,Sim,60,0,0,Aprovado,EQUIVALENCIA,,Obrigatória,Conclusão formatura,,21A
52,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2022,Sim,60,77,100,Aprovado,TURMA,,Obrigatória,Registro ativo,BCC1,21A
53,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,1,2018,Não,60,70,96,Aprovado,TURMA,,-,Registro ativo,A,21A
53,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2019,Sim,60,0,0,Aprovado,EQUIVALENCIA,,Obrigatória,Registro ativo,,21A
54,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2021,Sim,60,80,100,Aprovado,TURMA,,Obrigatória,Registro ativo,E,21A
55,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2022,Sim,60,66,100,Aprovado,TURMA,,Obrigatória,Registro ativo,BCC2,21A
56,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2020,Sim,60,83,100,Aprovado,TURMA,,Obrigatória,Registro ativo,ERE 2 - B,21A
57,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,1,2018,Não,60,70,100,Aprovado,TURMA,,-,Registro ativo,D,21A
57,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2019,Sim,60,0,0,Aprovado,EQUIVALENCIA,,Obrigatória,Registro ativo,,21A
58,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,1,2015,Sim,60,72,96,Aprovado,TURMA,,Obrigatória,Conclusão formatura,,21A
59,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2021,Sim,60,40,100,R-nota,TURMA,,Obrigatória,Registro ativo,B,21A
59,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,2,2021,Sim,60,82,100,Aprovado,TURMA,,Obrigatória,Registro ativo,A,21A
60,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2021,Sim,60,0,0,R-freq,TURMA,,Obrigatória,Registro ativo,A,21A
60,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,2,2021,Sim,60,30,87,R-nota,TURMA,,Obrigatória,Registro ativo,B,21A
60,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2022,Sim,60,31,80,R-nota,TURMA,,Obrigatória,Registro ativo,BCC5,21A
60,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,2,2022,Sim,60,0,0,Matriculado,TURMA,,Obrigatória,Registro ativo,BCC1,21A
61,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,1,2018,Não,60,98,96,Aprovado,TURMA,,-,Registro ativo,B,21A
61,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2019,Sim,60,0,0,Aprovado,EQUIVALENCIA,,Obrigatória,Registro ativo,,21A
62,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,1,2016,Sim,60,70,100,Aprovado,TURMA,D,Obrigatória,Conclusão formatura,,21A
63,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2020,Sim,60,70,100,Aprovado,TURMA,,Obrigatória,Registro ativo,ERE 2 - C,21A
64,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,1,2017,Não,60,78,96,Aprovado,TURMA,,-,Registro ativo,A,21A
64,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,2,2019,Sim,60,0,0,Aprovado,EQUIVALENCIA,,Obrigatória,Registro ativo,,21A
65,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2021,Sim,60,40,100,R-nota,TURMA,,Obrigatória,Registro ativo,E,21A
65,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,2,2021,Sim,60,50,97,Aprovado,TURMA,,Obrigatória,Registro ativo,B,21A
66,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,1,2014,Sim,60,32,73,R-freq,TURMA,,Obrigatória,Evasão,,21A
66,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,2,2014,Sim,60,0,3,R-freq,TURMA,,Obrigatória,Evasão,,21A
66,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,1,2015,Sim,60,70,93,Aprovado,TURMA,,Obrigatória,Evasão,,21A
67,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2019,Sim,60,65,100,Aprovado,TURMA,,Obrigatória,Registro ativo,A,21A
68,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2019,Sim,60,0,0,Aprovado,EQUIVALENCIA,,Obrigatória,Evasão,,21A
69,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,2,2020,Sim,60,72,100,Aprovado,TURMA,,Obrigatória,Evasão,A,21A
70,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2022,Sim,60,70,100,Aprovado,TURMA,,Obrigatória,Registro ativo,BCC3,21A
71,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2019,Sim,60,76,93,Aprovado,TURMA,,Obrigatória,Registro ativo,A,21A
72,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2021,Sim,60,6,100,R-nota,TURMA,,Obrigatória,Registro ativo,C,21A
72,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,2,2021,Sim,60,50,100,Aprovado,TURMA,,Obrigatória,Registro ativo,B,21A
73,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2020,Sim,60,0,100,Matriculado,TURMA,C,Obrigatória,Evasão,,21A
73,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2020,Sim,60,0,100,Cancelado,TURMA,A,Obrigatória,Evasão,,21A
73,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2020,Sim,60,72,100,Aprovado,TURMA,ERE 2 - B,Obrigatória,Evasão,,21A
74,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,2,2020,Sim,60,47,75,R-nota,TURMA,,Obrigatória,Registro ativo,A,21A
74,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2020,Sim,60,0,0,Cancelado,TURMA,,Obrigatória,Registro ativo,ERE 2 - D,21A
74,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2021,Sim,60,23,100,R-nota,TURMA,,Obrigatória,Registro ativo,D,21A
74,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,2,2021,Sim,60,93,100,Aprovado,TURMA,,Obrigatória,Registro ativo,D,21A
75,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2021,Sim,60,0,0,R-freq,TURMA,,Obrigatória,Registro ativo,D,21A
75,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,2,2021,Sim,60,72,100,Aprovado,TURMA,,Obrigatória,Registro ativo,A,21A
76,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2022,Sim,60,23,94,R-nota,TURMA,,Obrigatória,Registro ativo,BCC4,21A
76,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,2,2022,Sim,60,0,0,Matriculado,TURMA,,Obrigatória,Registro ativo,BCC1,21A
77,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2019,Sim,60,77,100,Aprovado,TURMA,,Obrigatória,Registro ativo,E,21A
78,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2019,Sim,60,97,93,Aprovado,TURMA,,Obrigatória,Registro ativo,A,21A
79,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,1,2016,Sim,60,83,93,Aprovado,TURMA,,Obrigatória,Trancamento,D,21A
80,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,1,2018,Não,60,83,100,Aprovado,TURMA,,-,Registro ativo,D,21A
80,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2019,Sim,60,0,0,Aprovado,EQUIVALENCIA,,Obrigatória,Registro ativo,,21A
81,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,1,2018,Não,60,76,100,Aprovado,TURMA,,-,Conclusão formatura,D,21A
81,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2019,Sim,60,0,0,Aprovado,EQUIVALENCIA,,Obrigatória,Conclusão formatura,,21A
82,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,2,2020,Sim,60,100,100,Aprovado,TURMA,,Obrigatória,Registro ativo,B,21A
83,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2019,Sim,60,16,100,R-nota,TURMA,,Obrigatória,Registro ativo,E,21A
83,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,2,2019,Sim,60,89,76,Aprovado,TURMA,,Obrigatória,Registro ativo,B,21A
84,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2021,Sim,60,0,0,R-freq,TURMA,,Obrigatória,Registro ativo,E,21A
84,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,2,2021,Sim,60,0,100,R-nota,TURMA,,Obrigatória,Registro ativo,D,21A
84,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2022,Sim,60,0,90,R-nota,TURMA,,Obrigatória,Registro ativo,BCC5,21A
84,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,2,2022,Sim,60,0,0,Matriculado,TURMA,,Obrigatória,Registro ativo,BCC1,21A
85,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2019,Sim,60,42,90,R-nota,TURMA,,Obrigatória,Registro ativo,B,21A
85,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,2,2019,Sim,60,84,93,Aprovado,TURMA,,Obrigatória,Registro ativo,B,21A
86,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,1,2016,Sim,60,75,86,Aprovado,TURMA,,Obrigatória,Registro ativo,C,21A
87,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,1,2013,Sim,60,54,0,Aprovado,EQUIVALENCIA,,Obrigatória,Registro ativo,,21A
88,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2022,Sim,60,29,100,R-nota,TURMA,,Obrigatória,Registro ativo,BCC5,21A
89,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,2,2020,Sim,60,88,75,Aprovado,TURMA,,Obrigatória,Registro ativo,A,21A
90,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,1,2017,Sim,60,79,96,Aprovado,TURMA,,Obrigatória,Conclusão formatura,,21A
91,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,1,2017,Não,60,82,100,Aprovado,TURMA,,-,Trancamento,B,21A
91,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2019,Sim,60,0,0,Aprovado,EQUIVALENCIA,,Obrigatória,Trancamento,,21A
92,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2020,Sim,60,83,100,Aprovado,TURMA,,Obrigatória,Registro ativo,ERE 2 - B,21A
93,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2021,Sim,60,80,100,Aprovado,TURMA,,Obrigatória,Registro ativo,A,21A
94,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2021,Sim,60,96,100,Aprovado,TURMA,,Obrigatória,Registro ativo,B,21A
95,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,2,2017,Não,60,7,75,R-nota,TURMA,,-,Registro ativo,B,21A
95,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,1,2018,Não,60,0,53,R-freq,TURMA,,-,Registro ativo,C,21A
95,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,1,2019,Não,60,0,83,R-nota,TURMA,,-,Registro ativo,D,21A
95,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,Anual,2019,Sim,60,5,0,Reprovado,APROVEITAMENTO,,-,Registro ativo,,21A
95,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2020,Sim,60,0,0,Cancelado,TURMA,,Obrigatória,Registro ativo,ERE 2 - A,21A
95,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,2,2021,Sim,60,35,97,R-nota,TURMA,,Obrigatória,Registro ativo,D,21A
95,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2022,Sim,60,31,100,R-nota,TURMA,,Obrigatória,Registro ativo,BCC2,21A
95,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,2,2022,Sim,60,0,0,Matriculado,TURMA,,Obrigatória,Registro ativo,BCC1,21A
96,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2022,Sim,60,23,100,R-nota,TURMA,,Obrigatória,Registro ativo,BCC1,21A
96,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,2,2022,Sim,60,0,0,Matriculado,TURMA,,Obrigatória,Registro ativo,BCC1,21A
97,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,1,2014,Sim,60,25,90,R-nota,TURMA,A,Obrigatória,Conclusão formatura,,21A
97,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,2,2014,Sim,60,86,93,Aprovado,TURMA,A,Obrigatória,Conclusão formatura,,21A
